iter	Passed	Remaining
0	19	19304
1	50	25082
2	80	26661
3	111	27747
4	141	28247
5	171	28494
6	202	28755
7	234	29139
8	268	29575
9	296	29348
10	326	29336
11	355	29292
12	385	29264
13	414	29217
14	444	29207
15	475	29271
16	504	29162
17	533	29101
18	562	29064
19	591	28959
20	620	28911
21	649	28880
22	679	28864
23	692	28162
24	721	28140
25	750	28104
26	779	28086
27	807	28021
28	834	27934
29	863	27917
30	893	27918
31	923	27922
32	950	27845
33	977	27767
34	1004	27688
35	1031	27632
36	1059	27577
37	1087	27542
38	1116	27501
39	1145	27487
40	1175	27505
41	1203	27443
42	1231	27406
43	1259	27368
44	1286	27308
45	1314	27258
46	1340	27185
47	1368	27142
48	1401	27195
49	1430	27173
50	1456	27100
51	1482	27034
52	1510	26996
53	1538	26948
54	1566	26915
55	1592	26847
56	1621	26819
57	1647	26762
58	1676	26736
59	1702	26676
60	1731	26652
61	1758	26597
62	1786	26570
63	1816	26564
64	1847	26569
65	1875	26545
66	1903	26511
67	1933	26506
68	1963	26494
69	1991	26462
70	2020	26430
71	2055	26496
72	2089	26537
73	2117	26491
74	2141	26416
75	2166	26342
76	2191	26266
77	2216	26194
78	2241	26135
79	2275	26169
80	2308	26195
81	2337	26167
82	2363	26113
83	2388	26045
84	2413	25981
85	2439	25923
86	2464	25863
87	2491	25824
88	2517	25764
89	2542	25710
90	2569	25665
91	2595	25613
92	2620	25557
93	2646	25504
94	2671	25446
95	2699	25419
96	2731	25425
97	2758	25384
98	2783	25334
99	2809	25284
100	2835	25235
101	2860	25183
102	2886	25137
103	2913	25097
104	2940	25062
105	2966	25018
106	2993	24979
107	3019	24940
108	3045	24898
109	3072	24860
110	3099	24821
111	3126	24786
112	3154	24763
113	3182	24730
114	3211	24712
115	3240	24691
116	3266	24653
117	3294	24627
118	3322	24600
119	3350	24573
120	3384	24586
121	3412	24561
122	3438	24513
123	3463	24467
124	3490	24430
125	3515	24388
126	3541	24346
127	3568	24310
128	3599	24301
129	3628	24284
130	3655	24249
131	3684	24229
132	3714	24211
133	3743	24192
134	3773	24176
135	3801	24148
136	3828	24118
137	3856	24088
138	3883	24053
139	3910	24022
140	3938	23995
141	3968	23978
142	3998	23960
143	4025	23932
144	4062	23956
145	4091	23932
146	4117	23892
147	4144	23858
148	4170	23822
149	4197	23788
150	4226	23760
151	4252	23726
152	4280	23696
153	4307	23662
154	4333	23626
155	4361	23595
156	4388	23563
157	4414	23526
158	4441	23494
159	4470	23468
160	4497	23437
161	4523	23399
162	4549	23363
163	4577	23334
164	4605	23304
165	4633	23278
166	4663	23261
167	4693	23243
168	4723	23223
169	4756	23220
170	4784	23193
171	4809	23150
172	4833	23106
173	4858	23065
174	4886	23035
175	4911	22997
176	4948	23010
177	4981	23004
178	5011	22984
179	5036	22944
180	5063	22909
181	5089	22874
182	5115	22837
183	5141	22802
184	5168	22771
185	5195	22736
186	5221	22699
187	5247	22663
188	5274	22634
189	5301	22602
190	5327	22566
191	5354	22534
192	5386	22523
193	5416	22503
194	5442	22469
195	5469	22437
196	5497	22408
197	5523	22374
198	5550	22342
199	5577	22310
200	5606	22284
201	5631	22248
202	5658	22217
203	5685	22183
204	5712	22152
205	5740	22124
206	5767	22092
207	5793	22061
208	5823	22039
209	5850	22007
210	5875	21971
211	5903	21943
212	5931	21917
213	5958	21886
214	5985	21853
215	6012	21823
216	6044	21811
217	6077	21799
218	6104	21770
219	6130	21737
220	6158	21709
221	6185	21677
222	6211	21644
223	6239	21615
224	6266	21585
225	6294	21555
226	6320	21524
227	6348	21494
228	6374	21461
229	6402	21433
230	6428	21400
231	6455	21370
232	6481	21337
233	6509	21308
234	6536	21277
235	6563	21247
236	6590	21215
237	6615	21181
238	6643	21154
239	6677	21146
240	6711	21137
241	6740	21112
242	6768	21086
243	6797	21062
244	6825	21032
245	6851	21001
246	6882	20981
247	6910	20954
248	6937	20924
249	6964	20894
250	6992	20866
251	7017	20829
252	7043	20795
253	7068	20759
254	7094	20726
255	7121	20697
256	7147	20663
257	7173	20629
258	7199	20597
259	7224	20562
260	7256	20545
261	7290	20536
262	7319	20510
263	7353	20500
264	7382	20475
265	7407	20439
266	7432	20405
267	7457	20370
268	7482	20334
269	7508	20301
270	7534	20268
271	7562	20239
272	7589	20210
273	7616	20181
274	7642	20148
275	7669	20117
276	7694	20084
277	7720	20051
278	7746	20019
279	7774	19991
280	7801	19960
281	7827	19930
282	7854	19899
283	7881	19869
284	7907	19838
285	7934	19807
286	7961	19778
287	7988	19748
288	8021	19734
289	8055	19723
290	8085	19699
291	8113	19672
292	8142	19648
293	8170	19621
294	8199	19594
295	8228	19571
296	8257	19546
297	8283	19513
298	8308	19478
299	8333	19445
300	8359	19411
301	8384	19378
302	8409	19344
303	8435	19313
304	8462	19283
305	8490	19256
306	8516	19224
307	8544	19196
308	8570	19166
309	8597	19136
310	8624	19106
311	8657	19090
312	8686	19066
313	8712	19034
314	8738	19003
315	8764	18970
316	8790	18939
317	8815	18906
318	8842	18876
319	8869	18847
320	8896	18817
321	8921	18785
322	8947	18754
323	8974	18723
324	8999	18691
325	9025	18660
326	9051	18628
327	9078	18600
328	9105	18570
329	9130	18538
330	9156	18507
331	9182	18475
332	9208	18444
333	9234	18414
334	9261	18384
335	9287	18354
336	9316	18329
337	9348	18310
338	9375	18281
339	9400	18248
340	9436	18237
341	9466	18212
342	9493	18183
343	9519	18153
344	9543	18119
345	9568	18086
346	9593	18052
347	9618	18020
348	9644	17989
349	9669	17958
350	9695	17926
351	9723	17899
352	9749	17869
353	9774	17837
354	9801	17808
355	9827	17778
356	9854	17749
357	9880	17719
358	9906	17687
359	9932	17657
360	9960	17631
361	9993	17612
362	10020	17584
363	10046	17553
364	10073	17525
365	10099	17495
366	10126	17465
367	10152	17435
368	10180	17408
369	10206	17379
370	10233	17349
371	10259	17319
372	10287	17293
373	10314	17264
374	10340	17233
375	10366	17203
376	10392	17173
377	10419	17145
378	10446	17116
379	10472	17086
380	10500	17059
381	10527	17031
382	10554	17002
383	10581	16973
384	10607	16943
385	10633	16915
386	10660	16885
387	10686	16856
388	10714	16829
389	10741	16801
390	10767	16771
391	10793	16740
392	10819	16711
393	10849	16687
394	10880	16664
395	10905	16634
396	10933	16606
397	10959	16577
398	10987	16549
399	11012	16519
400	11041	16493
401	11068	16464
402	11094	16435
403	11121	16406
404	11148	16378
405	11175	16350
406	11201	16321
407	11228	16292
408	11254	16263
409	11282	16235
410	11308	16205
411	11334	16176
412	11362	16148
413	11386	16117
414	11413	16089
415	11439	16059
416	11466	16031
417	11496	16007
418	11527	15984
419	11554	15956
420	11581	15927
421	11608	15899
422	11635	15870
423	11661	15842
424	11691	15817
425	11721	15794
426	11751	15769
427	11778	15741
428	11806	15715
429	11833	15686
430	11861	15659
431	11890	15634
432	11921	15610
433	11948	15582
434	11973	15552
435	12004	15528
436	12037	15508
437	12066	15482
438	12091	15452
439	12117	15421
440	12142	15392
441	12173	15368
442	12202	15342
443	12227	15311
444	12251	15280
445	12276	15248
446	12301	15218
447	12326	15187
448	12351	15157
449	12378	15128
450	12403	15098
451	12428	15068
452	12454	15039
453	12481	15010
454	12505	14979
455	12532	14951
456	12560	14923
457	12586	14894
458	12612	14866
459	12640	14839
460	12666	14809
461	12692	14780
462	12718	14750
463	12745	14722
464	12770	14693
465	12798	14666
466	12824	14637
467	12851	14609
468	12885	14588
469	12912	14560
470	12938	14532
471	12965	14503
472	12992	14475
473	13021	14449
474	13050	14424
475	13079	14398
476	13109	14373
477	13137	14346
478	13166	14321
479	13196	14296
480	13222	14267
481	13249	14239
482	13275	14209
483	13301	14181
484	13328	14152
485	13354	14123
486	13380	14094
487	13405	14065
488	13431	14036
489	13458	14007
490	13484	13978
491	13509	13948
492	13537	13921
493	13563	13893
494	13589	13863
495	13617	13837
496	13644	13808
497	13669	13779
498	13695	13750
499	13721	13721
500	13747	13692
501	13775	13665
502	13808	13643
503	13836	13616
504	13863	13589
505	13888	13559
506	13914	13530
507	13941	13502
508	13968	13474
509	13996	13447
510	14024	13420
511	14050	13391
512	14077	13363
513	14102	13334
514	14129	13306
515	14155	13277
516	14182	13249
517	14208	13221
518	14235	13193
519	14262	13165
520	14289	13137
521	14315	13108
522	14341	13079
523	14372	13055
524	14407	13035
525	14439	13011
526	14472	12989
527	14499	12961
528	14524	12931
529	14549	12902
530	14575	12873
531	14600	12843
532	14628	12816
533	14655	12788
534	14682	12761
535	14707	12731
536	14732	12702
537	14758	12673
538	14785	12645
539	14811	12617
540	14838	12589
541	14865	12561
542	14894	12535
543	14921	12507
544	14947	12479
545	14974	12450
546	15001	12423
547	15028	12395
548	15055	12367
549	15083	12341
550	15111	12313
551	15139	12286
552	15166	12259
553	15193	12231
554	15220	12204
555	15247	12175
556	15273	12147
557	15301	12120
558	15327	12092
559	15358	12067
560	15390	12043
561	15416	12015
562	15443	11987
563	15469	11958
564	15495	11930
565	15522	11902
566	15549	11874
567	15576	11847
568	15603	11818
569	15629	11790
570	15657	11763
571	15684	11735
572	15710	11707
573	15737	11679
574	15763	11651
575	15792	11624
576	15819	11597
577	15846	11569
578	15873	11541
579	15900	11513
580	15926	11485
581	15952	11457
582	15978	11428
583	16010	11404
584	16040	11379
585	16066	11350
586	16092	11322
587	16119	11294
588	16146	11266
589	16172	11238
590	16198	11210
591	16226	11182
592	16251	11154
593	16277	11125
594	16302	11096
595	16328	11068
596	16354	11039
597	16381	11012
598	16407	10983
599	16434	10956
600	16460	10928
601	16487	10900
602	16515	10873
603	16542	10845
604	16569	10817
605	16595	10789
606	16623	10762
607	16652	10736
608	16680	10709
609	16709	10683
610	16737	10656
611	16766	10629
612	16795	10603
613	16823	10576
614	16850	10548
615	16880	10522
616	16917	10501
617	16950	10477
618	16983	10453
619	17012	10426
620	17038	10398
621	17063	10369
622	17088	10340
623	17113	10312
624	17139	10283
625	17164	10254
626	17190	10226
627	17215	10197
628	17240	10168
629	17265	10140
630	17292	10112
631	17318	10084
632	17344	10056
633	17370	10027
634	17397	9999
635	17422	9971
636	17446	9942
637	17472	9913
638	17497	9885
639	17524	9857
640	17550	9829
641	17575	9800
642	17601	9772
643	17627	9744
644	17653	9716
645	17679	9687
646	17704	9659
647	17734	9633
648	17766	9608
649	17793	9581
650	17820	9553
651	17845	9525
652	17870	9496
653	17895	9467
654	17921	9439
655	17950	9412
656	17977	9385
657	18004	9358
658	18032	9330
659	18060	9304
660	18087	9276
661	18115	9249
662	18146	9223
663	18178	9198
664	18204	9170
665	18230	9142
666	18257	9115
667	18283	9086
668	18310	9059
669	18338	9032
670	18365	9004
671	18395	8978
672	18426	8953
673	18451	8924
674	18478	8896
675	18504	8868
676	18530	8840
677	18555	8812
678	18582	8785
679	18609	8757
680	18634	8729
681	18660	8701
682	18686	8672
683	18712	8644
684	18739	8617
685	18765	8589
686	18793	8562
687	18821	8535
688	18848	8507
689	18873	8479
690	18901	8452
691	18928	8424
692	18954	8396
693	18981	8369
694	19008	8341
695	19041	8316
696	19070	8290
697	19096	8262
698	19122	8234
699	19148	8206
700	19175	8179
701	19201	8151
702	19228	8123
703	19255	8095
704	19281	8068
705	19306	8039
706	19333	8012
707	19360	7984
708	19385	7956
709	19411	7928
710	19438	7901
711	19465	7873
712	19491	7845
713	19517	7818
714	19551	7793
715	19583	7767
716	19612	7741
717	19637	7712
718	19663	7685
719	19690	7657
720	19715	7629
721	19741	7601
722	19768	7573
723	19794	7545
724	19821	7518
725	19847	7490
726	19873	7462
727	19903	7436
728	19935	7410
729	19962	7383
730	19989	7355
731	20014	7327
732	20039	7299
733	20065	7271
734	20092	7244
735	20119	7216
736	20147	7189
737	20173	7161
738	20199	7134
739	20225	7106
740	20253	7079
741	20280	7051
742	20307	7024
743	20334	6996
744	20361	6969
745	20388	6941
746	20414	6914
747	20440	6886
748	20467	6858
749	20494	6831
750	20520	6803
751	20547	6776
752	20574	6748
753	20601	6721
754	20629	6694
755	20658	6667
756	20684	6639
757	20711	6612
758	20738	6585
759	20767	6558
760	20793	6530
761	20824	6504
762	20856	6478
763	20883	6450
764	20909	6423
765	20936	6395
766	20963	6368
767	20990	6340
768	21017	6313
769	21044	6285
770	21070	6258
771	21097	6230
772	21124	6203
773	21150	6175
774	21176	6147
775	21202	6120
776	21228	6092
777	21256	6065
778	21282	6037
779	21309	6010
780	21335	5982
781	21362	5955
782	21388	5927
783	21413	5899
784	21439	5871
785	21468	5845
786	21500	5818
787	21526	5791
788	21552	5763
789	21580	5736
790	21608	5709
791	21637	5682
792	21668	5656
793	21699	5629
794	21726	5602
795	21754	5575
796	21781	5547
797	21809	5520
798	21837	5493
799	21865	5466
800	21892	5439
801	21919	5411
802	21944	5383
803	21978	5357
804	22007	5331
805	22035	5303
806	22060	5275
807	22085	5247
808	22110	5220
809	22139	5193
810	22169	5166
811	22194	5138
812	22219	5110
813	22244	5082
814	22269	5055
815	22294	5027
816	22320	4999
817	22347	4972
818	22372	4944
819	22398	4916
820	22424	4889
821	22451	4861
822	22477	4834
823	22504	4806
824	22532	4779
825	22560	4752
826	22588	4725
827	22615	4697
828	22642	4670
829	22668	4643
830	22695	4615
831	22720	4587
832	22748	4560
833	22779	4534
834	22810	4507
835	22837	4480
836	22864	4452
837	22890	4425
838	22917	4397
839	22945	4370
840	22974	4343
841	23003	4316
842	23031	4289
843	23060	4262
844	23089	4235
845	23118	4208
846	23144	4180
847	23171	4153
848	23198	4125
849	23224	4098
850	23251	4070
851	23278	4043
852	23304	4016
853	23330	3988
854	23356	3961
855	23382	3933
856	23409	3906
857	23437	3878
858	23464	3851
859	23490	3823
860	23516	3796
861	23543	3769
862	23568	3741
863	23594	3713
864	23621	3686
865	23650	3659
866	23682	3632
867	23708	3605
868	23735	3578
869	23761	3550
870	23788	3523
871	23814	3495
872	23842	3468
873	23869	3441
874	23895	3413
875	23921	3386
876	23947	3358
877	23973	3331
878	23999	3303
879	24026	3276
880	24052	3248
881	24085	3222
882	24118	3195
883	24148	3168
884	24174	3141
885	24199	3113
886	24224	3086
887	24250	3058
888	24277	3031
889	24308	3004
890	24337	2977
891	24363	2949
892	24388	2922
893	24413	2894
894	24438	2867
895	24463	2839
896	24490	2812
897	24517	2784
898	24544	2757
899	24569	2729
900	24595	2702
901	24622	2675
902	24647	2647
903	24673	2620
904	24700	2592
905	24725	2565
906	24752	2537
907	24777	2510
908	24803	2483
909	24831	2455
910	24857	2428
911	24884	2401
912	24911	2373
913	24938	2346
914	24966	2319
915	24998	2292
916	25026	2265
917	25051	2237
918	25078	2210
919	25105	2183
