CUSTOMERID,CUSTOMER_TYPE,CATEGORYID,CATNAME,CRD_PURPOSE,CRD_CLASSIFICATION,CRLIMIT,BRNAME,DEALER_NAME,PRINTAMT,Down_payment%,ntransaction_l12m,MARTIAL_STATUS,nopen_account,nclose_account,state,Age,good_bad,Duration
1256754.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,413700.0,0001-Nay Pyi Taw,Wellcom Mobile,137840.13,30.0,7.0,Unknown,1.0,0.0,5,26.0,0,12.0
1617517.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,595000.0,0001-Nay Pyi Taw,Wellcom Mobile,198289.8,30.0,7.0,Single,1.0,0.0,13,27.0,0,12.0
1308040.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,560000.0,0001-Nay Pyi Taw,Wellcom Mobile,186437.35,30.0,7.0,Single,1.0,0.0,12,46.0,0,12.0
1384971.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,559300.0,0001-Nay Pyi Taw,Wellcom Mobile,202874.53,30.0,7.0,Single,1.0,0.0,9,22.0,0,11.0
1660930.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,707000.0,0001-Nay Pyi Taw,Wellcom Mobile,256884.95,30.0,7.0,Single,1.0,0.0,12,34.0,0,11.0
563084.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,647500.0,0001-Nay Pyi Taw,Wellcom Mobile,235068.64,30.0,7.0,Unknown,1.0,0.0,9,30.0,0,11.0
1660937.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,489300.0,0001-Nay Pyi Taw,Wellcom Mobile,176596.76,30.0,7.0,Single,1.0,0.0,13,28.0,0,11.0
1664443.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,647500.0,0001-Nay Pyi Taw,Wellcom Mobile,215624.8,30.0,7.0,Single,1.0,0.0,12,52.0,0,12.0
1675426.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,738500.0,0001-Nay Pyi Taw,Wellcom Mobile,307708.31,30.0,7.0,Single,1.0,0.0,9,26.0,0,12.0
1678047.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,489300.0,0001-Nay Pyi Taw,Wellcom Mobile,162749.13,30.0,7.0,Single,1.0,0.0,9,27.0,0,12.0
1683169.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,647500.0,0001-Nay Pyi Taw,Wellcom Mobile,215703.17,30.0,7.0,Single,1.0,0.0,0,42.0,0,12.0
1675314.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,1015000.0,0001-Nay Pyi Taw,Wellcom Mobile,338333.36,30.0,7.0,Married,1.0,0.0,14,49.0,0,12.0
1681320.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,448000.0,0001-Nay Pyi Taw,Wellcom Mobile,186666.69,30.0,7.0,Single,1.0,0.0,14,24.0,0,12.0
579306.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,448000.0,0001-Nay Pyi Taw,Wellcom Mobile,147952.0,30.0,7.0,Unknown,1.0,0.0,11,29.0,0,12.0
176277.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,647500.0,0001-Nay Pyi Taw,Wellcom Mobile,215515.06,30.0,7.0,Unknown,1.0,0.0,12,52.0,0,12.0
1700728.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,290500.0,0001-Nay Pyi Taw,Wellcom Mobile,145250.02,30.0,7.0,Unknown,1.0,0.0,13,30.0,0,12.0
1722688.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,966000.0,0001-Nay Pyi Taw,Wellcom Mobile,362116.21,30.0,7.0,Married,1.0,0.0,7,49.0,0,12.0
447945.0,Single Customer,1067.0,Hire Purchase (Upfront Method) Int 7%,Electronic Equipments,Agriculture/Livestocks,559300.0,0001-Nay Pyi Taw,Wellcom Mobile,232998.32,30.0,7.0,Unknown,1.0,0.0,12,29.0,0,12.0
1749044.0,Single Customer,1083.0,Hire Purchase (Amortization) Int 10%,Motor Vehicle,Agriculture/Livestocks,17409000.0,0001-Nay Pyi Taw,Farmer Phoyarzar General Services Co.Ltd(Used Car),1195183.85,30.0,9.0,Unknown,1.0,0.0,2,68.0,0,60.0
206714.0,Single Customer,1083.0,Hire Purchase (Amortization) Int 10%,Motor Vehicle,Agriculture/Livestocks,18320000.0,0001-Nay Pyi Taw,Farmer Phoyarzar General Services Co.Ltd(Used Car),5024009.0,20.0,1.0,Unknown,1.0,5.0,8,48.0,0,60.0
188498.0,Customer linkage,1083.0,Hire Purchase (Amortization) Int 10%,Motor Vehicle,Agriculture/Livestocks,17906000.0,0001-Nay Pyi Taw,"Shin Thant Thit Sar (NPT)Co.,Ltd",1162055.21,30.0,9.0,Unknown,1.0,0.0,7,27.0,0,60.0
428376.0,Single Customer,1083.0,Hire Purchase (Amortization) Int 10%,Motor Vehicle,Agriculture/Livestocks,15960000.0,0001-Nay Pyi Taw,"Shin Thant Thit Sar (NPT)Co.,Ltd",2326337.7,30.0,8.0,Unknown,1.0,0.0,9,49.0,0,36.0
200551.0,Customer linkage,1083.0,Hire Purchase (Amortization) Int 10%,Motor Vehicle,Agriculture/Livestocks,21760000.0,0001-Nay Pyi Taw,"Myanmar Theingi Services Co,Ltd(Suzuki)",2353760.49,20.0,3.0,Unknown,1.0,0.0,9,43.0,0,60.0
137196.0,Customer linkage,1083.0,Hire Purchase (Amortization) Int 10%,Motor Vehicle,Agriculture/Livestocks,21760000.0,0001-Nay Pyi Taw,"Myanmar Theingi Services Co,Ltd(Suzuki)",2718090.8,20.0,7.0,Unknown,1.0,0.0,5,30.0,0,60.0
2173106.0,Single Customer,1083.0,Hire Purchase (Amortization) Int 10%,Motor Vehicle,Agriculture/Livestocks,19530000.0,0001-Nay Pyi Taw,"Shin Thant Thit Sar (NPT)Co.,Ltd",1135359.22,30.0,10.0,Single,1.0,0.0,9,23.0,0,60.0
743412.0,Single Customer,1083.0,Hire Purchase (Amortization) Int 10%,Motor Vehicle,Agriculture/Livestocks,21760000.0,0001-Nay Pyi Taw,"Myanmar Theingi Services Co,Ltd(Suzuki)",1868582.22,20.0,5.0,Unknown,1.0,0.0,9,39.0,0,60.0
435120.0,Single Customer,1083.0,Hire Purchase (Amortization) Int 10%,Motor Vehicle,Agriculture/Livestocks,19280000.0,0001-Nay Pyi Taw,"Myanmar Theingi Services Co,Ltd(Suzuki)",1173164.27,20.0,9.0,Unknown,1.0,0.0,12,40.0,0,60.0
266746.0,Single Customer,1083.0,Hire Purchase (Amortization) Int 10%,Motor Vehicle,Agriculture/Livestocks,22410000.0,0001-Nay Pyi Taw,"Shin Thant Thit Sar (NPT)Co.,Ltd",2070323.54,10.0,7.0,Unknown,1.0,0.0,12,46.0,0,60.0
